"","source","target","weight","Type"
"751",19,208,2,"Undirected"
"752",24,208,3,"Undirected"
"753",28,208,1,"Undirected"
"754",1,209,1,"Undirected"
"755",3,209,1,"Undirected"
"756",13,209,6,"Undirected"
"757",23,209,1,"Undirected"
"758",25,209,1,"Undirected"
"759",3,210,4,"Undirected"
"760",7,210,4,"Undirected"
"761",8,210,1,"Undirected"
"762",9,210,2,"Undirected"
"763",10,210,1,"Undirected"
"764",14,210,6,"Undirected"
"765",15,210,1,"Undirected"
"766",19,210,2,"Undirected"
"767",20,210,2,"Undirected"
"768",22,210,2,"Undirected"
"769",26,210,1,"Undirected"
"770",26,211,2,"Undirected"
"771",14,212,1,"Undirected"
"772",27,212,1,"Undirected"
"773",27,213,1,"Undirected"
"774",1,214,1,"Undirected"
"775",3,214,1,"Undirected"
"776",25,214,1,"Undirected"
"777",26,214,1,"Undirected"
"778",1,215,3,"Undirected"
"779",2,215,1,"Undirected"
"780",9,215,1,"Undirected"
"781",13,215,1,"Undirected"
"782",17,215,1,"Undirected"
"783",23,215,1,"Undirected"
"784",26,215,1,"Undirected"
"785",1,216,2,"Undirected"
"786",2,216,1,"Undirected"
"787",3,216,2,"Undirected"
"788",10,216,1,"Undirected"
"789",14,216,1,"Undirected"
"790",18,216,1,"Undirected"
"791",24,216,1,"Undirected"
"792",27,216,1,"Undirected"
"793",28,216,1,"Undirected"
"794",3,217,1,"Undirected"
"795",3,218,1,"Undirected"
"796",1,219,1,"Undirected"
"797",6,219,1,"Undirected"
"798",10,219,1,"Undirected"
"799",28,219,1,"Undirected"
"800",2,220,1,"Undirected"
"801",3,220,3,"Undirected"
"802",7,220,2,"Undirected"
"803",8,220,2,"Undirected"
"804",9,220,2,"Undirected"
"805",14,220,2,"Undirected"
"806",17,220,1,"Undirected"
"807",19,220,1,"Undirected"
"808",20,220,1,"Undirected"
"809",25,220,1,"Undirected"
"810",28,220,1,"Undirected"
"811",8,221,4,"Undirected"
"812",10,222,1,"Undirected"
"813",11,222,1,"Undirected"
"814",27,222,1,"Undirected"
"815",1,223,1,"Undirected"
"816",7,223,2,"Undirected"
"817",9,223,1,"Undirected"
"818",10,223,3,"Undirected"
"819",11,223,1,"Undirected"
"820",14,223,1,"Undirected"
"821",20,223,2,"Undirected"
"822",25,223,1,"Undirected"
"823",11,224,1,"Undirected"
"824",19,224,3,"Undirected"
"825",20,224,1,"Undirected"
"826",13,225,1,"Undirected"
"827",15,226,1,"Undirected"
"828",15,227,1,"Undirected"
"829",15,228,1,"Undirected"
"830",2,229,1,"Undirected"
"831",3,229,1,"Undirected"
